title,link
Documentaries,https://www.bbc.com/video/docs
Trump and the Tech Titans20251 episodeTV-GWhat do the heads of massive tech companies stand to gain from the Trump presidency?View series,https://bbc.com/video/docs/series/10254863
More news,https://www.bbc.com/news
"Canada was once a dream destination for Indian students. Is that changing?Tighter rules, rising costs and visa risks are forcing Indian students to rethink studying in Canada.18 hrs agoWorld",https://bbc.com/news/articles/cj37y8np54eo
"250 missing after migrant boat sinks in Indian OceanThe trawler ""reportedly sank due to heavy winds, rough seas and overcrowding"", the United Nations said.7 hrs agoAsia",https://bbc.com/news/articles/cz6778j78vlo
"Israel and Hezbollah continue attacks after Israel-Lebanon talks in USIsrael strikes hit southern Lebanon and Hezbollah fires rockets at Israel, a day after rare direct negotiations.57 mins agoMiddle East",https://bbc.com/news/articles/c87ww2z0z3zo
South Korea jails American YouTuber for public nuisanceJohnny Somali sparked outrage after kissing a statue representing World War Two sex slaves.11 hrs agoAsia,https://bbc.com/news/articles/cj400lje9vxo
Meghan to appear as guest judge on MasterChef AustraliaThe Duke and Duchess of Sussex are on a four-day visit to Australia - their first since 2018.5 hrs agoAustralia,https://bbc.com/news/articles/cx2eejdwpk5o
"Four killed in second Turkish school shooting in two daysThree students and one teacher died in the attack, according to the local governor.1 hr agoEurope",https://bbc.com/news/articles/cn088n9e6e9o
Australian pleads guilty to creating deepfake porn in landmark caseThe 19-year-old is the first person to be charged under a new national law.8 hrs agoAustralia,https://bbc.com/news/articles/c39333x0xeno
Must watch,https://www.bbc.com/video
Watch: Reporter told to pose as gay for asylum claimA BBC reporter goes undercover and speaks to an adviser encouraging migrants to cheat the asylum system.Politics,https://bbc.com/news/videos/cjd89jy7lp7o
"'I can feel the difference' - Americans react to soaring gas pricesPresident Donald Trump said over the weekend that oil and gas prices ""could be the same or maybe a little bit higher"" in the coming months.US & Canada",https://bbc.com/news/videos/c15ddld3gggo
New footage shows moment Orion capsule hatch is opened at seaNewly released video shows the moment the hatch of Artemis II's Orion capsule is unlocked to a joyful reunion with the four astronauts.Science & Environment,https://bbc.com/news/videos/clyxxnz97wxo
What are Harry and Meghan doing in Australia?BBC News journalist Simon Atkinson explains how the couple's tour will be different compared to their last visit.Australia,https://bbc.com/news/videos/c70dd4975r2o
"The Israeli town on the frontline with HezbollahBBC foreign correspondent Nick Beake visits Metula, an Israeli town surrounded on three sides by Lebanon.Middle East",https://bbc.com/news/videos/cqxll4qz3d5o
"IMF: Oil prices and war could derail global growthThe BBC’s Michelle Fleury explains why oil, inflation and interest rates are key risks as the IMF warns war and soaring energy prices could hit the global economy.World",https://bbc.com/news/videos/ce8ll4qj0n3o
‘I don’t know why they’re coming’: Australians on Harry and Meghan's visitThe BBC spoke to people in Sydney to hear their thoughts on the Duke and Duchess of Sussex’s trip to Australia.Australia,https://bbc.com/news/videos/crk18gnepmgo
"‘I pray they come together’ - Americans react to Trump’s feud with Pope LeoHours after posting a lengthy message critiquing the pontiff, the US president shared a Jesus-like image of himself that he has since deleted.US & Canada",https://bbc.com/news/videos/cp3l2vv69peo
Culture,https://www.bbc.com/culture
Has the new Devil Wears Prada lost its bite?The Devil Wears Prada 2 is the most anticipated film of 2026 so far. But the publicity campaign suggests the original's satire has been softened – along with Meryl Streep's toxic boss villain.See more,https://bbc.com/culture/article/20260414-why-the-new-devil-wears-prada-could-lose-its-bite
Travel,https://www.bbc.com/travel
"Paddleboarders are reviving an ancient Aboriginal languageThe millennia-old language of Gumbaynggirr was critically endangered. Now, a series of tourism initiatives are helping to bring it back from the brink of disappearance.See more",https://bbc.com/travel/article/20260413-travellers-are-using-paddle-boarding-to-revive-an-ancient-aboriginal-language
US & Canada news,https://www.bbc.com/news/us-canada
Texas lawmaker resigns after admitting affair with aide who died by suicideCongressmen Tony Gonzales joined Eric Swalwell in resigning from Congress on Tuesday after facing allegations of sexual misconduct.,https://bbc.com/news/articles/c0700pd0xx1o
Man drowns in Colorado River after jumping off boat to retrieve his hat,https://bbc.com/news/articles/crk11258p8zo
"Another woman accuses Swalwell of rape, saying he drugged her in 2018",https://bbc.com/news/articles/c78rr9r4e5po
"Teen charged with killing stepsister during family cruise, officials say",https://bbc.com/news/articles/cpd5872e9p8o
More world news,https://www.bbc.com/news/world
"Harry says children should be an 'upgrade' of their parentsThe Duke of Sussex combines two of his passions, mental health campaigning and sport, on the second day of an Australia visit.",https://bbc.com/news/articles/c93ee1dp93lo
Three years of messages at once - a chronicle of Sudan's war pours in as trapped reporter's phone turns on,https://bbc.com/news/articles/cy01d1g0rrjo
Kenya fuel prices rise sharply despite reduction in tax due to Iran war,https://bbc.com/news/articles/cgrlll7qgdzo
"The human cost of the war in Sudan, three years on",https://bbc.com/news/videos/czd77jgnnlno
Business,https://www.bbc.com/business
Why the UK government is relaxed about Chinese car importsThe UK government believes the rise of China's car industry could be good for UK consumers and industry.,https://bbc.com/news/articles/cnv82v3n6yqo
Tankers urged not to pay toll to Iran for use of strait,https://bbc.com/news/articles/c3dl0gdvvveo
White House staff told not to place bets on prediction markets,https://bbc.com/news/articles/cgld65x396go
India proposes new rules to regulate news and political posts on social media,https://bbc.com/news/articles/ce9mx2j3xlxo
Sport,https://www.bbc.com/sport
Slot says VAR has gone against Liverpool - is he right?Liverpool's exit from the Champions League was hastened by a VAR intervention. BBC Sport analyses the key refereeing decisions in their season.,https://bbc.com/sport/football/articles/cj0vvp030e5o
'I might not be here' - Stokes on facial injury,https://bbc.com/sport/cricket/articles/c4g443z0pkno
Are Kompany's Bayern a glimpse at football after Guardiola?,https://bbc.com/sport/football/articles/cn4vvm0pmkjo
Liverpool fear lengthy lay-off for Ekitike,https://bbc.com/sport/football/articles/c4g443g0l76o
Latest Sport audio,https://www.bbc.com/audio/category/sport
More than the ScoreVaibhav Sooryavanshi: The teenager hitting the IPL for six,https://bbc.com/audio/play/p0ndcd7q
Test Match Special'I should have died' - James Taylor 10 years on,https://bbc.com/audio/play/p0ndgk1d
FPL Podcast from BBC SportSnooker Loopy,https://bbc.com/audio/play/p0ndd899
BBC Women's Football WeeklyEngland beat world champions Spain on Walsh's milestone night,https://bbc.com/audio/play/p0ndf00m
Football DailyUCL Debrief: Liverpool knocked out & Atleti down Barcelona,https://bbc.com/audio/play/p0nddzp3
More than the ScoreSophie Fawns: 'we need to talk about Ovarian cancer',https://bbc.com/audio/play/p0nd9pnj
Test Match SpecialThe Art of Captaincy,https://bbc.com/audio/play/p0nd77pw
Football DailyMNC: Are Arsenal 'bottling' it & will Spurs survive?,https://bbc.com/audio/play/p0nd6vjl
Technology,https://www.bbc.com/technology
"Snapchat blames AI as it cuts 1,000 jobsThe Snapchat owner is laying off around 16% of staff and withdrawn hundreds of open job roles.",https://bbc.com/news/articles/cdxdd0z2w11o
Booking.com customers warned of 'reservation hijacking' after hack,https://bbc.com/news/articles/cly00jnnxypo
Google to punish sites that trap people in with back button tricks,https://bbc.com/news/articles/c05dd2yj3z3o
Amazon to spend $11bn on satellite firm in growing Starlink rivalry,https://bbc.com/news/articles/clyjjr7kzj2o
Science,https://www.bbc.com/innovation/science
"Has Artemis II shown we can land on the Moon again?The Artemis II mission has been near flawless to date, but has the test flight shown Nasa is ready to send humans to the lunar surface?",https://bbc.com/news/articles/cj60nkd8nrko
What will the next footprints on the Moon be like?,https://bbc.com/future/article/20230705-what-will-the-next-footprints-on-the-moon-look-like
Cambodia unveils statue to honour famous landmine-sniffing rat,https://bbc.com/news/articles/c0rx7xzd10xo
Spectacular images reveal unique sea creatures and corals off Caribbean islands,https://bbc.com/news/articles/cgmllk32g72o
Culture,https://www.bbc.com/culture
"She was a folk-music genius. Then she vanishedConnie Converse made stunning, forward-thinking songs in the 1950s, but was barely known – and aged 50, she disappeared. Now, with a new re-release of her music, she's recognised as a trailblazer.",https://bbc.com/culture/article/20260413-the-mystery-of-a-missing-folk-music-pioneer
The 'bizarre' story of the world's first LSD trip,https://bbc.com/culture/article/20260410-the-bizarre-story-of-the-worlds-first-lsd-trip
The eight best films of 2026 so far,https://bbc.com/culture/article/20260409-the-best-films-of-2026
Why this 16th-Century painting isn't what it seems,https://bbc.com/culture/article/20260408-why-this-16th-century-painting-isnt-what-it-seems
Arts,https://www.bbc.com/arts
"The world's most misunderstood novelF Scott Fitzgerald's The Great Gatsby is synonymous with glitz and glamour, but this is just one of many myths that have surrounded the book since its first publication in 1925.",https://bbc.com/culture/article/20210209-the-worlds-most-misunderstood-novel
Inside the hotel where Agatha Christie wrote a classic,https://bbc.com/reel/video/p0n3cpm6/watch
10 early photographic 'fakes' that trick the eye,https://bbc.com/culture/article/20260216-10-early-photographic-fakes-that-trick-the-eye
The naked pictures that question how we look at the body,https://bbc.com/reel/video/p0bvhpwm/watch
Watch,https://www.bbc.com/video
"Baby Pachyrhinosaurus struggles to survive in the wildernessFor a baby Pachyrhinosaurus, staying close to the herd is the only way to make it through the wilderness alive.See more",https://bbc.com/reel/video/p0ndgjmc/watch
Travel,https://www.bbc.com/travel
A strange paradox means no one knows how long England's coastline really isA new hiking trail will soon allow travellers to walk around England's entire coast – but a strange paradox means no one knows exactly how long it is.,https://bbc.com/travel/article/20260410-why-its-impossible-to-measure-englands-coastline
Six of the world's most stunning diving spots,https://bbc.com/travel/article/20260409-six-of-the-worlds-most-extraordinary-places-to-dive
This metro stop is Ancient Rome's new attraction,https://bbc.com/travel/article/20260408-a-150-metro-ticket-to-ancient-rome
How to not embarrass yourself in a British pub,https://bbc.com/travel/article/20260407-how-to-not-embarrass-yourself-in-a-british-pub
World's Table,https://www.bbc.com/travel/worlds-table
"Which country can claim steak?From Japan to Argentina to the US, nations around the world have put their own stamp on the mouthwatering meat – making beef a destination in itself.",https://bbc.com/travel/article/20260402-which-country-can-claim-steak
Inside the Turkish city built on 'green gold',https://bbc.com/travel/article/20260316-the-turkish-city-built-on-green-gold
The rare 'dinosaur egg' returning from extinction,https://bbc.com/travel/article/20260312-the-tasty-dinosaur-egg-returning-from-extinction
Congee to consommé: Why every culture has a healing broth,https://bbc.com/travel/article/20260304-why-every-culture-has-a-healing-broth
Earth,https://www.bbc.com/future-planet
"The team saving Welsh native species in case the apocalypse wipes them outShould the apocalypse arrive, Wales as we know it may depend on these two conservationists.",https://bbc.com/news/articles/c2d1k0nrwe9o
"A look back at incredible pictures by Doug Allan, late Planet Earth cameraman",https://bbc.com/news/articles/crk17eg356eo
"As chlamydia threatens koalas, one island offers hope",https://bbc.com/future/article/20260401-the-island-saving-koalas-from-chlamydia
A rogue mushroom is tearing through US forests,https://bbc.com/future/article/20260325-an-unstoppable-mushroom-is-tearing-through-north-american-forests
Video,https://www.bbc.com/video
